3	8	0	10	2	0
3	7	0	7	1	0
3	7	0	7	1	0
6	13	0	10	1	0
6	11	0	9	1	0
2	3	0	3	0	0
2	3	0	3	0	0
2	4	0	1	0	0
2	4	0	1	0	0
23	38	7	17	3	1
6	12	0	6	0	0
2	5	0	5	1	0
10	15	5	10	2	0
5	6	0	5	0	0
5	6	0	5	0	0
10	14	5	7	1	0
10	12	5	13	3	0
6	8	0	7	0	0
1	0	0	2	0	0
1	0	0	2	0	0
21	36	7	16	3	1
3	7	0	6	1	0
4	9	0	7	1	0
2	6	0	1	0	0
2	6	0	1	0	0
6	13	0	9	1	0
6	14	0	12	2	0
1	1	0	2	0	0
1	1	0	2	0	0
6	12	0	6	0	0
4	2	0	4	0	0
4	2	0	4	0	0
3	7	0	6	1	0
6	3	0	9	1	0
6	12	0	6	0	0
5	10	2	3	0	0
5	10	2	3	0	0
5	9	1	4	0	0
5	9	1	4	0	0
2	3	0	3	0	0
0	2	0	1	0	0
0	2	0	1	0	0
0	1	0	0	0	0
0	1	0	0	0	0
6	8	0	7	0	0
3	6	0	3	0	0
3	6	0	3	0	0
4	6	0	5	0	0
4	4	0	5	0	0
21	28	7	14	2	0
21	29	7	14	2	0
21	29	7	17	3	0
21	30	7	17	3	0
0	4	1	0	0	0
0	4	1	0	0	0
0	0	0	2	0	0
0	0	0	2	0	0
4	4	0	5	0	0
3	5	0	6	1	0
0	3	0	4	1	0
0	3	0	4	1	0
3	4	0	3	0	0
3	4	0	3	0	0
54	82	0	4	0	0
54	84	0	4	0	0
5	11	0	8	1	0
5	11	0	8	1	0
7	15	0	10	1	0
4	6	0	4	0	0
4	6	0	4	0	0
25	40	7	19	3	1
5	11	0	8	1	0
2	3	0	3	0	0
2	4	0	1	0	0
5	6	0	5	0	0
1	0	0	2	0	0
2	6	0	1	0	0
1	1	0	2	0	0
6	12	0	6	0	0
4	2	0	4	0	0
6	12	0	6	0	0
5	10	2	3	0	0
5	9	1	4	0	0
0	2	0	1	0	0
0	1	0	0	0	0
3	6	0	3	0	0
4	6	0	5	0	0
0	4	1	0	0	0
0	0	0	2	0	0
0	3	0	4	1	0
3	4	0	3	0	0
4	6	0	4	0	0
